size: 1000, threads: 2, time: 0.0011737, tot = 499753207971, min = 0, max = 999998 
size: 1000, threads: 4, time: 0.000450403, tot = 499923797540, min = 0, max = 999999 
size: 1000, threads: 8, time: 0.000704156, tot = 500274205800, min = 0, max = 999997 
size: 1000, threads: 16, time: 0.00218112, tot = 500278121783, min = 1, max = 999998 
size: 1000, threads: 32, time: 0.00244659, tot = 500286145419, min = 0, max = 999998 
size: 2000, threads: 1, time: 0.0037252, tot = 7996720936328, min = 1, max = 3999999 
size: 2000, threads: 2, time: 0.00240466, tot = 8001137075845, min = 1, max = 3999998 
size: 2000, threads: 4, time: 0.00142765, tot = 7998551890744, min = 0, max = 3999998 
size: 2000, threads: 8, time: 0.00131635, tot = 8000186988365, min = 0, max = 3999998 
size: 2000, threads: 16, time: 0.00149934, tot = 7998363638139, min = 0, max = 3999999 
size: 2000, threads: 32, time: 0.00280899, tot = 7994504442749, min = 1, max = 3999998 
size: 3000, threads: 1, time: 0.00810008, tot = 40482388947118, min = 0, max = 8999999 
size: 3000, threads: 2, time: 0.0049436, tot = 40477069440930, min = 3, max = 8999999 
size: 3000, threads: 4, time: 0.00290957, tot = 40456747964390, min = 0, max = 8999999 
size: 3000, threads: 8, time: 0.00194419, tot = 40471194027053, min = 0, max = 8999998 
size: 3000, threads: 16, time: 0.00196772, tot = 40446902820684, min = 1, max = 8999999 
size: 3000, threads: 32, time: 0.00285901, tot = 40457887666330, min = 3, max = 8999999 
size: 4000, threads: 1, time: 0.0155223, tot = 127834745899652, min = 1, max = 15999999 
size: 4000, threads: 2, time: 0.00805244, tot = 127832210463955, min = 1, max = 15999996 
size: 4000, threads: 4, time: 0.00498038, tot = 127853788682423, min = 0, max = 15999997 
size: 4000, threads: 8, time: 0.0026747, tot = 127829389802382, min = 1, max = 15999999 
size: 4000, threads: 16, time: 0.00285663, tot = 127859650195706, min = 3, max = 15999999 
size: 4000, threads: 32, time: 0.00378613, tot = 127830465070496, min = 0, max = 15999996 
